Date,Open,High,Low,Close,Adj Close,Volume
2020-01-15,7.444000,7.519000,7.386000,7.464000,6.497276,6541000
2020-01-16,7.465000,7.490000,7.292000,7.334000,6.384113,9837000
2020-01-17,7.334000,7.450000,7.292000,7.379000,6.423285,6484000
2020-01-20,7.443000,7.601000,7.396000,7.548000,6.570396,3041000
2020-01-21,7.559000,7.591000,7.455000,7.459000,6.492923,6130000
2020-01-22,7.460000,7.564000,7.382000,7.406000,6.446788,6681000
2020-01-23,7.412000,7.510000,7.360000,7.494000,6.523390,9457000
2020-01-24,7.493000,7.548000,7.443000,7.499000,6.527743,6457000
2020-01-27,7.498000,7.498000,7.340000,7.362000,6.408487,9462000
2020-01-28,7.372000,7.535000,7.372000,7.535000,6.559080,7279000
2020-01-29,7.550000,7.589000,7.453000,7.459000,6.492923,5781000
2020-01-30,7.419000,7.419000,7.223000,7.341000,6.390206,8160000
2020-01-31,7.334000,7.405000,7.254000,7.342000,6.391077,7844000
2020-02-03,7.339000,7.597000,7.320000,7.500000,6.528613,11982000
2020-02-04,7.599000,7.730000,7.491000,7.555000,6.576489,13171000
2020-02-05,7.590000,7.700000,7.445000,7.545000,6.567785,11321000
2020-02-06,7.541000,7.603000,7.410000,7.457000,6.491182,10750000
2020-02-07,7.403000,7.564000,7.340000,7.367000,6.412839,10208000
2020-02-10,7.340000,7.374000,7.114000,7.222000,6.286619,12261000
2020-02-11,7.241000,7.490000,7.241000,7.490000,6.519908,10700000
2020-02-12,7.526000,7.759000,7.493000,7.730000,6.728824,12978000
2020-02-13,7.650000,7.871000,7.569000,7.790000,6.781052,11598000
2020-02-14,7.809000,7.863000,7.548000,7.604000,6.619143,11560000
2020-02-17,7.630000,7.827000,7.592000,7.760000,6.754939,5453000
2020-02-18,7.758000,7.758000,7.690000,7.706000,6.707932,6943000
2020-02-19,7.719000,7.849000,7.676000,7.791000,6.781923,6377000
2020-02-20,7.792000,7.826000,7.541000,7.594000,6.610438,12192000
2020-02-21,7.569000,7.781000,7.462000,7.687000,6.691393,8961000
2020-02-26,null,null,null,null,null,null
2020-02-27,7.215000,7.460000,7.029000,7.178000,6.248318,11212000
2020-02-28,7.169000,7.200000,6.830000,7.171000,6.242225,10754000
2020-03-02,7.220000,7.454000,7.201000,7.321000,6.372797,9949000
2020-03-03,7.397000,7.601000,7.208000,7.298000,6.352776,8363000
2020-03-04,7.444000,7.745000,7.419000,7.665000,6.672242,8678000
2020-03-05,7.621000,7.674000,7.315000,7.316000,6.368444,9855000
2020-03-06,6.931000,7.037000,6.805000,6.895000,6.001972,14587000
2020-03-09,6.468000,6.484000,6.247000,6.258000,5.447474,14841000
2020-03-10,6.536000,6.820000,6.299000,6.669000,5.805243,15720000
2020-03-11,6.500000,6.559000,5.843000,6.181000,5.380448,7799000
2020-03-12,5.751000,5.756000,5.001000,5.223000,4.546526,16711000
2020-03-13,6.300000,6.300000,5.305000,6.114000,5.322125,14823000
2020-03-16,5.692000,5.692000,5.200000,5.534000,4.817245,15698000
2020-03-17,5.620000,5.868000,5.467000,5.729000,4.986990,9832000
2020-03-18,5.480000,5.549000,4.650000,5.000000,4.352409,11593000
2020-03-19,4.900000,5.304000,4.546000,5.201000,4.527376,14243000
2020-03-20,5.356000,5.600000,4.891000,4.921000,4.283641,23628000
2020-03-23,4.897000,4.990000,4.272000,4.354000,3.790077,11658000
2020-03-24,4.642000,4.867000,4.350000,4.398000,3.828378,18154000
2020-03-25,4.399000,4.850000,4.221000,4.850000,4.221836,25988000
2020-03-26,4.994000,5.837000,4.936000,5.350000,4.657077,23595000
2020-03-27,5.179000,5.454000,5.000000,5.000000,4.352409,13209000
2020-03-30,5.149000,5.320000,5.100000,5.210000,4.535209,13268000
2020-03-31,5.211000,5.533000,5.211000,5.350000,4.657077,15837000
2020-04-01,5.200000,5.344000,5.087000,5.107000,4.445550,17961000
